Decision,Hand Strength,Pot,Already Bet,Call Difference,Players
0,12,250,100,0,5
0,9,550,200,-75,3
1,11,250,100,0,3
1,12,250,100,0,4
0,10,250,100,0,5
0,404,1400,200,800,3
3,11,250,150,-50,2
4,112,300,200,-100,2
0,408,450,100,100,5
0,8,250,100,0,6
3,13,250,150,-50,2
4,13,300,200,-100,2
0,8,475,100,125,4
0,5,250,100,0,5
1,10,300,200,-200,2
4,10,600,350,-200,2
3,10,1250,350,300,2
0,12,3950,850,1350,2
0,6,450,100,100,4
1,104,250,100,0,4
0,8,250,100,0,6
0,9,500,150,100,3
1,12,250,100,0,4
2,110,550,200,0,2
2,110,550,200,0,2
4,110,550,200,0,2
0,12,250,100,0,5
0,6,600,200,-75,3
0,9,460,100,110,4
1,12,250,100,0,4
0,406,250,100,0,5
3,13,375,200,-75,2
2,126,500,325,-200,2
3,126,700,325,-125,2
2,126,900,525,-325,2
3,126,1680,525,255,2
2,126,2460,1305,-525,2
0,8,300,200,-100,2
0,10,250,100,0,4
1,12,250,100,0,6
1,126,450,200,0,2
0,11,1175,150,550,4
1,108,250,100,0,4
2,108,750,250,0,2
2,108,750,250,0,2
4,218,750,250,0,2
1,12,250,100,0,5
0,8,250,100,0,6
3,10,250,150,-50,2
2,112,300,200,-100,2
3,112,450,200,-50,2
2,112,600,350,-200,2
2,112,600,350,-200,2
1,12,300,150,-50,3
1,12,460,100,110,5
4,12,1612,571,110,2
0,8,250,100,0,5
3,13,375,200,-75,2
2,106,500,325,-200,2
0,106,750,325,-75,2
1,7,250,100,0,3
0,9,450,100,100,5
0,5,250,100,0,6
3,13,475,150,75,3
2,13,775,325,-100,3
3,13,1000,325,-100,3
4,106,1225,550,-325,2
0,7,250,100,0,3
1,408,250,100,0,5
0,12,250,100,0,6
3,8,375,200,-75,2
2,9,500,325,-200,2
3,9,750,325,-75,2
2,118,1000,575,-325,2
4,118,1000,575,-325,2
0,11,460,100,110,4
3,122,460,100,110,6
1,122,1880,310,900,2
4,122,5090,1310,900,2
4,122,6249,1310,900,2
1,13,300,150,-50,6
3,411,375,200,-75,2
2,11,500,325,-200,2
3,11,750,325,-75,2
4,118,1000,575,-325,2
4,118,1250,575,-325,2
0,118,7775,575,5950,2
1,405,460,150,60,3
2,10,2760,1140,60,2
2,10,2760,1140,60,2
2,407,2760,1140,60,2
1,13,250,100,0,4
4,13,550,200,0,2
